time,x,y,z,vx,vy,vz
0,-16,-1,-12,0,0,0
1,-13,0,-11,3,1,1
2,-7,2,-9,6,2,2
3,0,4,-6,7,2,3
4,4,5,-4,4,1,2
5,5,5,-5,1,0,-1
6,3,4,-9,-2,-1,-4
7,0,2,-12,-3,-2,-3
8,-4,0,-12,-4,-2,0
9,-9,-1,-11,-5,-1,1
10,-11,-1,-11,-2,0,0
11,-12,0,-10,-1,1,1
12,-12,2,-7,0,2,3
13,-11,4,-5,1,2,2
14,-9,5,-4,2,1,1
15,-6,5,-5,3,0,-1
16,-4,4,-7,2,-1,-2
17,-3,2,-10,1,-2,-3
18,-3,0,-11,0,-2,-1
19,-4,-1,-11,-1,-1,0
20,-6,-1,-10,-2,0,1
21,-9,0,-9,-3,1,1
22,-11,2,-9,-2,2,0
23,-12,5,-9,-1,3,0
24,-10,5,-8,2,0,1
25,-5,4,-6,5,-1,2
26,-1,2,-4,4,-2,2
27,0,-1,-5,1,-3,-1
28,-2,-3,-9,-2,-2,-4
29,-7,-2,-14,-5,1,-5
30,-9,2,-16,-2,4,-2
31,-9,7,-15,0,5,1
32,-8,11,-11,1,4,4
33,-5,12,-5,3,1,6
34,-3,10,-2,2,-2,3
35,-3,5,-2,0,-5,0
36,-6,-2,-5,-3,-7,-3
37,-9,-8,-10,-3,-6,-5
38,-9,-11,-15,0,-3,-5
39,-7,-11,-17,2,0,-2
40,-6,-8,-16,1,3,1
41,-5,-3,-12,1,5,4
42,-5,3,-7,0,6,5
43,-5,8,-1,0,5,6
44,-6,10,2,-1,2,3
45,-7,10,2,-1,0,0
46,-5,9,-1,2,-1,-3
47,-4,7,-5,1,-2,-4
48,-4,4,-10,0,-3,-5
49,-5,0,-16,-1,-4,-6
50,-7,-2,-19,-2,-2,-3
51,-8,-3,-19,-1,-1,0
52,-8,-3,-17,0,0,2
53,-8,-2,-14,0,1,3
54,-7,0,-10,1,2,4
55,-6,4,-5,1,4,5
56,-4,7,-3,2,3,2
57,-3,9,-4,1,2,-1
58,-5,10,-6,-2,1,-2
59,-8,10,-9,-3,0,-3
60,-10,8,-13,-2,-2,-4
61,-9,3,-14,1,-5,-1
62,-5,-3,-12,4,-6,2
63,-2,-8,-8,3,-5,4
64,-2,-11,-3,0,-3,5
65,-5,-11,-1,-3,0,2
66,-9,-8,-2,-4,3,-1
67,-11,-2,-6,-2,6,-4
68,-10,7,-13,1,9,-7
69,-6,13,-17,4,6,-4
70,-3,16,-18,3,3,-1
71,-3,16,-16,0,0,2
72,-5,13,-11,-2,-3,5
73,-8,7,-7,-3,-6,4
74,-10,-2,-4,-2,-9,3
75,-9,-8,-4,1,-6,0
76,-7,-11,-7,2,-3,-3
77,-4,-11,-9,3,0,-2
78,-4,-8,-10,0,3,-1
79,-5,-2,-10,-1,6,0
80,-7,5,-9,-2,7,1
81,-8,10,-9,-1,5,0
82,-6,12,-10,2,2,-1
83,-5,11,-12,1,-1,-2
84,-5,9,-15,0,-2,-3
85,-6,6,-15,-1,-3,0
86,-8,3,-12,-2,-3,3
87,-9,1,-7,-1,-2,5
88,-8,-2,-1,1,-3,6
89,-4,-4,2,4,-2,3
90,-2,-5,2,2,-1,0
91,-3,-5,-1,-1,0,-3
92,-7,-4,-7,-4,1,-6
93,-11,-2,-16,-4,2,-9
94,-12,1,-22,-1,3,-6
95,-10,5,-25,2,4,-3
96,-6,8,-25,4,3,0
97,-3,8,-22,3,0,3
98,-3,7,-16,0,-1,6
99,-4,5,-7,-1,-2,9
100,-6,2,2,-2,-3,9
101,-7,-2,8,-1,-4,6
102,-9,-5,11,-2,-3,3
103,-10,-5,11,-1,0,0
104,-10,-2,8,0,3,-3
105,-7,2,2,3,4,-6
106,-3,5,-7,4,3,-9
107,0,7,-17,3,2,-10
108,0,8,-24,0,1,-7
109,-1,8,-28,-1,0,-4
110,-3,6,-29,-2,-2,-1
111,-6,1,-27,-3,-5,2
112,-10,-3,-22,-4,-4,5
113,-11,-6,-14,-1,-3,8
114,-10,-8,-5,1,-2,9
115,-8,-9,2,2,-1,7
116,-6,-7,6,2,2,4
117,-3,-2,7,3,5,1
118,0,4,5,3,6,-2
119,0,9,0,0,5,-5
120,-2,13,-8,-2,4,-8
121,-5,16,-17,-3,3,-9
122,-8,16,-23,-3,0,-6
123,-12,13,-26,-4,-3,-3
124,-14,8,-26,-2,-5,0
125,-13,2,-23,1,-6,3
126,-10,-4,-17,3,-6,6
127,-6,-7,-10,4,-3,7
128,-2,-7,-2,4,0,8
129,1,-4,3,3,3,5
130,2,0,5,1,4,2
131,0,3,4,-2,3,-1
132,-4,5,0,-4,2,-4
133,-9,6,-5,-5,1,-5
134,-13,6,-11,-4,0,-6
135,-16,3,-17,-3,-3,-6
136,-17,-1,-20,-1,-4,-3
137,-15,-4,-20,2,-3,0
138,-11,-6,-17,4,-2,3
139,-6,-7,-13,5,-1,4
140,-1,-7,-8,5,0,5
141,3,-6,-2,4,1,6
142,5,-4,1,2,2,3
143,4,1,1,-1,5,0
144,1,7,-2,-3,6,-3
145,-3,12,-6,-4,5,-4
146,-9,16,-11,-6,4,-5
147,-14,19,-16,-5,3,-5
148,-17,21,-18,-3,2,-2
149,-17,22,-17,0,1,1
150,-15,20,-15,2,-2,2
151,-12,15,-12,3,-5,3
152,-7,7,-8,5,-8,4
153,-1,-2,-3,6,-9,5
154,3,-10,-1,4,-8,2
155,4,-17,-2,1,-7,-1
156,3,-21,-4,-1,-4,-2
157,1,-22,-7,-2,-1,-3
158,-3,-20,-11,-4,2,-4
159,-8,-15,-16,-5,5,-5
160,-13,-7,-18,-5,8,-2
161,-15,4,-17,-2,11,1
162,-15,14,-15,0,10,2
163,-14,21,-12,1,7,3
164,-11,25,-8,3,4,4
165,-7,26,-3,4,1,5
166,-3,24,-1,4,-2,2
167,0,19,-2,3,-5,-1
168,1,11,-4,1,-8,-2
169,1,0,-7,0,-11,-3
170,-1,-10,-11,-2,-10,-4
171,-4,-17,-16,-3,-7,-5
172,-7,-21,-18,-3,-4,-2
173,-9,-22,-17,-2,-1,1
174,-11,-20,-13,-2,2,4
175,-14,-15,-8,-3,5,5
176,-14,-7,-2,0,8,6
177,-11,4,4,3,11,6
178,-9,14,7,2,10,3
179,-8,21,7,1,7,0
180,-6,25,4,2,4,-3
181,-3,26,-2,3,1,-6
182,-1,24,-11,2,-2,-9
183,0,19,-21,1,-5,-10
184,0,11,-28,0,-8,-7
185,-1,0,-32,-1,-11,-4
186,-3,-10,-33,-2,-10,-1
187,-6,-17,-31,-3,-7,2
188,-8,-21,-26,-2,-4,5
189,-9,-22,-18,-1,-1,8
190,-11,-20,-9,-2,2,9
191,-14,-15,1,-3,5,10
192,-14,-7,8,0,8,7
193,-11,4,12,3,11,4
194,-7,14,13,4,10,1
195,-4,21,11,3,7,-2
196,-2,25,6,2,4,-5
197,-1,26,-2,1,1,-8
198,1,24,-11,2,-2,-9
199,2,19,-20,1,-5,-9
200,2,11,-26,0,-8,-6
201,-1,0,-29,-3,-11,-3
202,-5,-10,-29,-4,-10,0
203,-10,-17,-26,-5,-7,3
204,-14,-21,-20,-4,-4,6
205,-17,-22,-12,-3,-1,8
206,-17,-20,-3,0,2,9
207,-16,-15,3,1,5,6
208,-14,-7,6,2,8,3
209,-11,4,6,3,11,0
210,-7,14,3,4,10,-3
211,-2,21,-1,5,7,-4
212,4,25,-6,6,4,-5
213,7,26,-12,3,1,-6
214,7,24,-17,0,-2,-5
215,4,19,-19,-3,-5,-2
216,-2,11,-18,-6,-8,1
217,-7,0,-16,-5,-11,2
218,-11,-10,-13,-4,-10,3
219,-14,-17,-9,-3,-7,4
220,-14,-21,-4,0,-4,5
221,-13,-22,-2,1,-1,2
222,-11,-20,-3,2,2,-1
223,-10,-15,-5,1,5,-2
224,-9,-7,-8,1,8,-3
225,-7,4,-12,2,11,-4
226,-4,14,-17,3,10,-5
227,0,21,-19,4,7,-2
228,3,25,-18,3,4,1
229,3,26,-14,0,1,4
230,0,24,-9,-3,-2,5
231,-4,19,-3,-4,-5,6
232,-9,11,4,-5,-8,7
233,-15,0,8,-6,-11,4
234,-18,-10,9,-3,-10,1
235,-18,-17,7,0,-7,-2
236,-15,-21,2,3,-4,-5
237,-9,-22,-6,6,-1,-8
238,-3,-20,-15,6,2,-9
239,2,-15,-21,5,5,-6
240,6,-7,-24,4,8,-3
241,7,4,-24,1,11,0
242,5,14,-21,-2,10,3
243,2,21,-15,-3,7,6
244,-2,25,-6,-4,4,9
245,-7,26,4,-5,1,10
246,-11,24,11,-4,-2,7
247,-14,19,15,-3,-5,4
248,-16,11,16,-2,-8,1
249,-17,2,14,-1,-9,-2
250,-17,-6,9,0,-8,-5
251,-16,-11,1,1,-5,-8
252,-14,-13,-10,2,-2,-11
253,-11,-12,-22,3,1,-12
254,-7,-8,-31,4,4,-9
255,-3,-1,-37,4,7,-6
256,2,5,-40,5,6,-3
257,6,10,-40,4,5,0
258,9,14,-37,3,4,3
259,11,15,-31,2,1,6
260,12,13,-22,1,-2,9
261,10,8,-10,-2,-5,12
262,5,1,3,-5,-7,13
263,-3,-5,13,-8,-6,10
264,-12,-10,20,-9,-5,7
265,-20,-14,24,-8,-4,4
266,-27,-15,25,-7,-1,1
267,-31,-13,23,-4,2,-2
268,-32,-8,18,-1,5,-5
269,-30,0,10,2,8,-8
270,-25,8,-1,5,8,-11
271,-17,15,-15,8,7,-14
272,-6,20,-26,11,5,-11
273,4,22,-34,10,2,-8
274,11,21,-39,7,-1,-5
275,15,17,-41,4,-4,-2
276,16,10,-40,1,-7,1
277,14,0,-36,-2,-10,4
278,9,-9,-29,-5,-9,7
279,3,-16,-19,-6,-7,10
280,-4,-20,-6,-7,-4,13
281,-12,-21,5,-8,-1,11
282,-17,-19,13,-5,2,8
283,-19,-14,18,-2,5,5
284,-20,-6,20,-1,8,2
285,-20,5,19,0,11,-1
286,-19,15,15,1,10,-4
287,-17,22,8,2,7,-7
288,-14,26,-2,3,4,-10
289,-10,27,-15,4,1,-13
290,-5,25,-25,5,-2,-10
291,0,20,-32,5,-5,-7
292,4,12,-36,4,-8,-4
293,7,1,-37,3,-11,-1
294,9,-9,-35,2,-10,2
295,10,-16,-30,1,-7,5
296,10,-20,-22,0,-4,8
297,7,-21,-11,-3,-1,11
298,1,-19,3,-6,2,14
299,-8,-14,14,-9,5,11
300,-16,-6,22,-8,8,8
301,-23,3,27,-7,9,5
302,-27,11,29,-4,8,2
303,-28,17,28,-1,6,-1
304,-26,20,24,2,3,-4
305,-21,20,17,5,0,-7
306,-13,17,7,8,-3,-10
307,-2,11,-6,11,-6,-13
308,8,4,-22,10,-7,-16
309,15,-2,-35,7,-6,-13
310,19,-7,-45,4,-5,-10
311,20,-9,-52,1,-2,-7
312,18,-8,-56,-2,1,-4
313,13,-4,-57,-5,4,-1
314,5,1,-55,-8,5,2
315,-4,5,-50,-9,4,5
316,-12,8,-42,-8,3,8
317,-19,10,-31,-7,2,11
318,-23,9,-17,-4,-1,14
319,-24,5,0,-1,-4,17
320,-22,0,14,2,-5,14
321,-17,-4,25,5,-4,11
322,-13,-7,33,4,-3,8
323,-10,-9,38,3,-2,5
324,-8,-8,40,2,1,2
325,-7,-4,39,1,4,-1
326,-7,1,35,0,5,-4
327,-8,7,28,-1,6,-7
328,-10,12,18,-2,5,-10
