98366,50148
98366,51373
98336,51373
98336,52554
97497,52554
97497,53803
98001,53803
98001,55044
98141,55044
98141,56174
97325,56174
97325,57370
97143,57370
97143,58656
97457,58656
97457,59877
97328,59877
97328,61071
97055,61071
97055,62259
96757,62259
96757,63286
95901,63286
95901,64582
95985,64582
95985,65637
95295,65637
95295,66895
95192,66895
95192,67838
94263,67838
94263,69024
93959,69024
93959,69976
93129,69976
93129,71148
92782,71148
92782,72148
92085,72148
92085,73328
91727,73328
91727,74231
90876,74231
90876,75728
90997,75728
90997,76453
89872,76453
89872,77584
89373,77584
89373,78360
88374,78360
88374,79801
88257,79801
88257,80312
86943,80312
86943,81272
86203,81272
86203,82219
85443,82219
85443,83120
84629,83120
84629,84004
83796,84004
83796,85128
83187,85128
83187,85655
82015,85655
82015,86632
81253,86632
81253,86931
79925,86931
79925,88108
79311,88108
79311,88966
78430,88966
78430,89794
77517,89794
77517,89748
76022,89748
76022,91012
75389,91012
75389,91443
74225,91443
74225,92371
73348,92371
73348,92173
71865,92173
71865,93114
70985,93114
70985,93414
69786,93414
69786,94522
68944,94522
68944,94898
67775,94898
67775,94929
66483,94929
66483,94994
65225,94994
65225,95985
64273,95985
64273,95821
62959,95821
62959,96103
61786,96103
61786,97112
60780,97112
60780,96957
59500,96957
59500,97277
58324,97277
58324,97105
57068,97105
57068,98049
55969,98049
55969,98232
54755,98232
54755,98335
53531,98335
53531,97768
52275,97768
52275,97800
51064,97800
51064,97979
49852,97979
49852,97881
48639,97881
48639,97511
47444,97511
47444,98326
46170,98326
46170,98081
44961,98081
44961,97583
43791,97583
43791,97666
42548,97666
42548,97096
41409,97096
41409,96518
40291,96518
40291,96340
39096,96340
39096,96891
37705,96891
37705,95637
36789,95637
36789,95738
35495,95738
35495,95114
34424,95114
34424,95200
33101,95200
33101,94739
31969,94739
31969,94184
30878,94184
30878,93279
29953,93279
29953,93076
28705,93076
28705,92242
27769,92242
27769,91690
26692,91690
26692,91187
25583,91187
25583,90659
24483,90659
24483,89880
23540,89880
23540,88995
22680,88995
22680,88244
21736,88244
21736,87701
20631,87701
20631,87279
19411,87279
19411,86380
18574,86380
18574,85676
17567,85676
17567,84405
17094,84405
17094,83995
15795,83995
15795,82691
15396,82691
15396,81921
14449,81921
14449,81014
13647,81014
13647,80340
12556,80340
12556,79126
12132,79126
12132,78093
11495,78093
11495,77581
10112,77581
10112,76272
9869,76272
9869,75469
8858,75469
8858,74446
8178,74446
8178,73292
7729,73292
7729,71930
7700,71930
7700,71214
6414,71214
6414,69903
6330,69903
6330,68704
6041,68704
6041,67598
5548,67598
5548,66556
4871,66556
4871,65377
4556,65377
4556,64163
4368,64163
4368,62927
4289,62927
4289,61821
3757,61821
3757,60817
2727,60817
2727,59434
3364,59434
3364,58243
3183,58243
3183,57131
2477,57131
2477,55951
2100,55951
2100,54692
2407,54692
2407,53468
2535,53468
2535,52267
2406,52267
2406,51071
1874,51071
1874,50137
94901,50137
94901,48623
1544,48623
1544,47425
2139,47425
2139,46245
2620,46245
2620,45017
2452,45017
2452,43739
2014,43739
2014,42607
2714,42607
2714,41435
3045,41435
3045,40233
3205,40233
3205,38908
2858,38908
2858,37767
3345,37767
3345,36520
3432,36520
3432,35409
3992,35409
3992,34479
5043,34479
5043,33168
4977,33168
4977,32168
5754,32168
5754,30879
5818,30879
5818,29820
6433,29820
6433,28538
6585,28538
6585,27583
7403,27583
7403,26819
8536,26819
8536,25310
8351,25310
8351,24246
8962,24246
8962,23193
9595,23193
9595,22682
11006,22682
11006,21306
11174,21306
11174,20764
12468,20764
12468,19422
12733,19422
12733,18831
13917,18831
13917,18024
14825,18024
14825,16553
15029,16553
15029,15671
15881,15671
15881,15348
17263,15348
17263,13940
17621,13940
17621,13571
18920,13571
18920,12337
19481,12337
19481,11773
20597,11773
20597,11627
22002,11627
22002,10423
22633,10423
22633,9424
23436,9424
23436,9032
24638,9032
24638,8505
25744,8505
25744,7964
26836,7964
26836,7471
27950,7471
27950,7215
29175,7215
29175,6421
30138,6421
30138,6085
31314,6085
31314,5620
32430,5620
32430,5115
33532,5115
33532,4939
34752,4939
34752,4020
35728,4020
35728,4251
37061,4251
37061,3958
38229,3958
38229,3215
39294,3215
39294,3039
40499,3039
40499,2947
41715,2947
41715,2849
42924,2849
42924,2396
44085,2396
44085,1770
45244,1770
45244,2379
46520,2379
46520,2024
47714,2024
47714,1722
48924,1722
48924,1995
50147,1995
50147,1955
51364,1955
51364,1833
52590,1833
52590,1667
53829,1667
53829,2201
55008,2201
55008,2002
56262,2002
56262,2686
57396,2686
57396,2740
58620,2740
58620,2603
59891,2603
59891,3023
61053,3023
61053,3989
62063,3989
62063,3602
63429,3602
63429,3793
64653,3793
64653,4242
65797,4242
65797,5135
66772,5135
66772,5481
67941,5481
67941,5745
69152,5745
69152,6470
70162,6470
