departure location: 26-715 or 727-972
departure station: 45-164 or 175-960
departure platform: 43-247 or 270-972
departure track: 25-306 or 330-949
departure date: 26-635 or 660-961
departure time: 42-773 or 793-961
arrival location: 28-928 or 943-952
arrival station: 36-593 or 613-966
arrival platform: 33-280 or 297-951
arrival track: 44-358 or 371-974
class: 39-815 or 839-955
duration: 39-573 or 589-959
price: 49-846 or 865-962
route: 30-913 or 924-954
row: 29-865 or 890-965
seat: 44-667 or 683-969
train: 32-473 or 482-969
type: 40-424 or 432-953
wagon: 49-156 or 164-960
zone: 34-521 or 534-971

your ticket:
73,101,67,97,149,53,89,113,79,131,71,127,137,61,139,103,83,107,109,59

nearby tickets:
279,705,188,357,892,488,741,247,572,176,760,306,410,861,507,906,179,501,808,245
51,436,407,893,228,722,213,239,813,460,415,571,95,98,116,138,811,552,164,813
407,242,909,340,99,906,566,749,880,708,273,843,737,244,244,461,903,198,806,64
83,740,373,298,441,199,633,271,397,437,693,624,461,372,296,684,122,795,754,124
294,541,629,865,767,632,434,189,86,799,891,667,466,707,419,197,225,627,243,750
158,405,551,439,803,149,737,773,220,910,341,798,536,209,753,199,273,141,617,122
457,176,371,757,456,192,304,803,256,627,695,762,232,400,755,520,706,926,200,382
566,92,846,448,743,796,54,210,442,623,423,247,52,262,386,747,337,514,145,635
729,403,105,108,514,434,752,244,175,291,147,78,520,708,843,494,409,392,744,572
799,76,122,195,129,298,242,547,563,909,750,438,178,632,514,273,858,397,708,151
482,119,106,800,341,112,804,846,436,566,890,925,515,886,763,236,793,420,908,133
665,335,739,444,989,246,461,57,684,443,842,146,80,372,152,133,306,628,206,753
519,350,70,729,633,949,500,664,726,572,844,211,694,399,912,416,199,97,219,691
379,747,806,134,757,763,334,404,893,909,103,795,522,546,559,394,132,77,457,401
78,142,536,664,128,804,795,906,204,947,339,388,778,96,766,709,118,227,85,305
182,465,484,349,383,94,508,345,61,238,299,540,555,735,353,438,378,500,403,289
132,735,427,356,147,233,905,456,373,712,128,71,559,191,270,350,299,709,453,110
446,445,408,494,423,3,357,625,702,390,511,896,79,712,493,452,510,205,193,554
416,667,449,483,803,348,566,569,753,378,762,497,690,208,81,740,522,187,357,276
890,927,405,213,694,733,76,516,429,489,398,537,540,621,486,727,141,204,145,505
757,354,134,684,83,73,482,846,800,547,206,808,106,763,685,877,771,221,194,591
445,857,432,384,630,418,185,108,569,621,619,451,809,763,744,590,698,520,457,247
769,800,271,50,685,895,125,692,217,419,379,473,18,66,80,381,74,65,57,385
454,348,573,88,351,551,358,896,380,468,630,400,104,405,591,201,556,542,939,346
126,236,111,226,241,159,378,686,68,208,810,534,742,356,182,243,302,943,409,540
120,755,700,704,483,378,666,397,520,209,137,276,361,353,687,709,438,108,129,688
350,274,153,297,177,909,69,547,762,715,395,729,412,185,53,205,943,807,347,874
344,472,705,183,192,431,200,53,110,666,332,209,896,376,454,713,768,98,215,148
417,903,567,89,330,739,447,894,488,57,409,542,274,532,148,737,746,661,753,747
331,194,101,513,145,81,0,198,226,843,807,88,62,223,904,86,901,737,509,753
480,270,382,439,707,343,91,458,383,119,808,82,60,684,147,454,110,545,807,405
760,617,358,697,690,796,55,449,205,510,340,61,66,215,565,650,567,241,229,242
419,626,848,662,230,392,687,278,625,298,230,756,765,210,840,71,401,633,351,148
211,544,797,975,432,89,105,713,555,376,115,53,690,703,948,274,809,591,844,541
628,204,110,450,408,544,812,505,417,769,494,148,147,537,727,902,924,771,202,429
177,428,57,407,564,243,143,382,500,134,177,304,215,405,624,865,843,486,551,796
690,454,56,467,144,209,490,458,353,807,731,762,180,990,423,727,444,247,152,391
675,83,107,514,537,411,444,223,121,154,452,811,180,196,567,591,110,896,696,534
61,387,141,813,932,793,277,410,902,630,230,272,80,337,493,205,461,797,507,495
204,124,997,550,378,388,551,189,138,391,560,139,222,149,467,627,702,220,68,436
273,179,231,383,683,943,499,665,214,508,209,218,127,614,814,63,353,464,290,905
120,100,143,278,592,486,493,18,149,707,196,302,538,844,145,796,482,764,772,238
179,561,395,841,699,626,509,126,399,796,771,445,208,700,331,156,285,152,418,755
116,949,434,491,172,618,416,842,793,947,182,908,629,216,194,846,796,634,496,390
395,381,94,116,466,402,4,418,511,793,697,927,448,904,454,619,94,110,95,493
379,521,684,715,944,692,892,276,901,924,373,525,593,238,435,108,512,801,111,944
733,246,898,356,150,498,195,57,750,210,119,663,823,378,418,66,744,573,538,924
625,389,928,891,291,305,84,109,794,399,926,181,95,459,464,278,401,347,459,713
688,275,683,517,559,297,948,439,907,347,710,181,76,739,739,454,548,736,432,989
237,118,394,111,208,378,138,171,696,412,399,109,210,331,125,205,632,634,696,490
614,222,593,103,810,55,762,503,945,541,182,693,75,124,400,414,710,213,177,781
927,689,185,155,852,703,927,189,386,51,155,53,280,928,634,76,543,456,815,806
990,410,149,206,666,384,394,903,345,97,77,214,473,244,152,618,534,242,560,208
70,220,193,447,202,77,420,733,627,686,513,948,121,746,900,488,453,284,589,192
897,707,928,247,434,623,516,854,703,416,589,905,739,485,468,341,799,491,683,451
377,507,192,518,208,352,217,554,390,910,194,878,699,109,927,182,735,705,146,415
548,101,144,738,801,455,372,571,899,301,350,271,155,337,714,791,436,619,133,304
460,400,122,744,132,754,624,570,572,500,566,436,17,513,699,749,483,709,403,738
181,57,627,947,429,758,593,512,504,101,799,842,155,843,901,633,555,563,211,144
322,928,464,714,793,621,731,71,551,509,910,354,708,388,809,666,208,623,543,467
61,331,911,372,765,445,494,621,631,472,519,352,345,409,338,152,154,763,55,658
405,438,749,236,551,593,895,539,846,246,749,513,259,376,106,82,467,194,440,564
549,924,407,756,689,692,105,349,943,50,80,622,282,438,63,235,748,846,912,946
557,550,557,415,483,544,621,802,520,566,397,274,425,846,57,493,800,537,556,742
120,572,517,114,423,499,634,110,357,435,684,349,861,707,483,434,389,702,661,61
98,976,516,114,927,899,566,104,903,796,758,633,538,411,148,499,553,383,506,227
80,510,571,571,837,518,111,139,550,843,387,76,305,544,543,456,683,707,124,711
450,710,277,420,123,843,59,123,151,414,712,197,929,202,663,896,400,749,75,486
545,504,550,621,143,815,543,517,837,502,765,590,513,398,338,558,107,573,468,50
574,865,925,711,122,812,442,732,738,743,758,460,948,572,140,102,896,372,499,543
222,450,273,686,384,806,619,153,58,378,356,628,355,191,176,683,193,132,881,518
725,386,299,568,689,402,68,65,223,412,802,804,123,151,115,689,338,448,615,355
276,696,105,492,279,424,623,118,215,334,556,708,875,615,626,213,246,503,693,487
431,147,183,619,441,411,50,565,909,406,407,692,109,243,799,404,743,540,117,928
114,492,740,453,302,279,666,948,356,107,393,104,411,345,560,110,436,437,83,171
375,571,195,376,194,755,242,232,216,698,336,244,928,946,412,231,793,887,97,808
545,473,297,408,563,386,713,385,624,378,414,483,766,941,761,731,210,149,538,243
173,810,239,98,186,492,84,50,332,355,395,710,906,303,741,451,812,795,272,404
398,106,207,892,383,435,913,404,332,793,541,345,339,466,549,382,744,124,430,558
452,806,843,623,734,395,341,330,192,84,206,184,988,226,75,794,544,762,413,103
539,406,740,772,794,211,892,294,635,393,235,694,176,627,772,449,710,502,63,622
128,813,68,945,275,453,902,402,79,736,696,21,891,132,204,626,797,667,843,470
404,205,793,552,946,830,76,56,728,213,563,154,468,347,272,927,225,630,357,395
695,199,943,764,147,58,216,147,377,633,635,123,735,442,568,710,944,543,754,937
178,218,127,156,316,118,624,82,449,747,125,624,387,233,177,376,154,446,554,385
764,564,557,793,913,591,984,568,276,188,518,542,807,627,80,388,93,554,689,439
